1,4,8 	668
1,4,7 	5
7,8 	105
1,2,3,4,5,6,7,8,9,10 	1
1,4,6 	65190
7,9 	4
1,4,5 	29
2,4,10 	4
2,4,6,7,10 	1
8,10 	6
4,5,6,7 	3
4,5,6,8 	173
4,5,6,9 	13
1,2,4,6,7,10 	25
4,6,7,10 	11
2,3,5,6,8 	4
2,3,5,6,9 	7
10 	1839
2,3,9,10 	5
2,3,8,9 	20
4,5,6,8,9,10 	2
2,3,5,6,8,9,10 	6
2,4,6,8 	959
4,5,10 	4
2,4,6,9 	5
3,10 	2
3,8,9 	4
1 	2722684
2,4,6,7 	381
2 	27501
3 	2126
4 	3923719
5 	1312240
6 	18267035
7 	42111
4,6,7 	1990
8 	281385
3,5,6,8,10 	1
9 	960
4,6,9 	223
4,6,8 	19014
2,5,6,8,9 	7
1,5,8 	2
6,7 	5400
1,5,7 	3
6,8 	1552
6,8,9 	1
1,5,6 	60
6,9 	201
2,4,6,10 	40
2,5,6,9,10 	3
1,7,8,10 	4
2,6,8,9 	5
2,3,8 	4
2,3,9 	20
1,2,10 	78
2,3,4 	12
2,3,4,5,6,8,9,10 	2
2,3,6 	24
2,3,5 	149
1,2,4,5,7 	7
1,2,4,5,6 	59
2,3,4,5,6,8,9 	13
3,5,6,8 	2
3,5,6,10 	1
3,5,6,9 	22
3,4,6,8,9 	3
2,4,6,7,8 	56
9,10 	63
1,7,10 	15
2,4,6,8,10 	2
3,4,8,9 	1
1,2,4,6,7,8,10 	4
2,3,5,6,8,10 	2
2,3,4,9,10 	1
4,7,8 	1
2,3,5,8,9,10 	22
5,6 	528834
1,3,4,6 	4
1,6,8 	106
5,7 	2366
6,7,8 	4
1,6,7 	2114
5,8 	105
5,9 	16
6,9,10 	1
2,6,7,8 	1
4,6,10 	1009
1,8,10 	34
4,10 	1220
1,4,6,8,10 	4
2,4,7 	58
2,3,5,10 	1
2,4,6 	14183
2,4,9 	1
2,4,8 	1657
2,6,8,9,10 	2
2,8,10 	12
2,4,5 	507
3,6,8,9 	1
3,4,5,6,10 	2
3,5,6,9,10 	2
2,3,4,5,8,9 	9
5,6,10 	5
1,2,4,6,8 	477
1,2,4,6,7 	305
4,5,6,10 	194
3,6,10 	1
5,6,9,10 	1
2,4,6,8,9 	3
3,4,6,8,9,10 	1
2,3,8,9,10 	12
1,2,8,10 	4
2,5,6,8,10 	20
1,2,3,9 	1
1,2,4,6,8,10 	1
5,6,9 	21
5,6,8 	11
5,6,7 	15
2,6,8,10 	6
6,8,9,10 	1
3,5,6,8,9 	2
4,5 	105330
4,6 	5313722
4,7 	563
4,8 	40303
4,9 	80
2,3,5,6,8,9 	9
1,2,3,10 	1
2,5,6,8,9,10 	7
1,7,8 	135
2,7,8,10 	1
2,3,5,6,9,10 	2
2,5,6 	1680
1,2,4,5,6,8 	1
